metric	value
schema_version	0.4.0
profile	assembly
verdict	FAIL
gate_mode	none
gate_status	FAIL
gate_blocking_findings	duplicate_ids,duplicate_first_token_ids,invalid_chars
gate_advisory_findings	high_n_rate,tiny_contigs,gap_runs,terminal_ns,length_outliers,composite_anomalies
readiness_status	FAIL
readiness_blockers	index.duplicate_ids,index.duplicate_first_token_ids,alphabet.invalid_chars
readiness_file_status	PASS
readiness_structure_status	PASS
readiness_alphabet_status	FAIL
readiness_index_status	FAIL
readiness_assembly_status	WARN
readiness_submission_status	WARN
readiness_machine_status	PASS
input_sha256	4b8551daeda739b62c8e7aaa1ebf300e4118167ca582c51eeccfa1549c96f0a5
sequence_count	5
total_length	145
min_length	4
max_length	110
mean_length	29
median_length	8
n50	110
n90	8
l50	1
l90	3
gc_percent	8.28
at_percent	8.97
n_percent	80.69
ambiguity_percent	81.38
duplicate_id_count	1
duplicate_first_token_id_count	1
duplicate_sequence_count	0
unsafe_id_count	0
long_header_count	0
reserved_header_char_count	0
invalid_sequence_count	1
high_n_sequence_count	2
tiny_contig_count	5
terminal_n_sequence_count	1
repeated_gap_pattern_sequence_count	0
max_gap_run	101
ungapped_total_length	28
gc_outlier_count	0
length_outlier_count	1
composite_anomaly_count	1
finding_count	9
